StateAb,Ticket,CandidateNm,PartyNm,BallotPosition
VIC,AB,"BAILEY, Kevin",Australian Conservatives,1
VIC,AB,"VAN STRIJP, Nina",Australian Conservatives,2
VIC,AB,"THOMAS, Trent",Australian Conservatives,3
VIC,AC,"O'BRYAN, Darryl",The Great Australian Party,1
VIC,AC,"EDWARDS, Helen Maxine",The Great Australian Party,2
VIC,AD,"GOLDEN, Isaac",Health Australia Party,1
VIC,AD,"HICKS, Andrew",Health Australia Party,2
VIC,AE,"BROWN, Siobhann",Yellow Vest Australia,1
VIC,AE,"FRANKLIN, Terri",Yellow Vest Australia,2
VIC,UG,"BETTS, Kenneth Gordon",Independent,1
VIC,UG,"DICKS, Max",Independent,2
VIC,UG,"McINNIS, Murray",Independent,3
VIC,UG,"MORRIS, Karl F",Independent,4
WA,A,"GEORGIOU, Peter",Pauline Hanson's One Nation,1
WA,A,"SUTER, Martin Graham",Pauline Hanson's One Nation,2
WA,B,"WILYMAN, Judy",Involuntary Medication Objectors (Vaccination/Fluoride) Party,1
WA,B,"KINSELLA, Michelle",Involuntary Medication Objectors (Vaccination/Fluoride) Party,2
WA,C,"REYNOLDS, Linda",Liberal,1
WA,C,"BROCKMAN, Slade",Liberal,2
WA,C,"O'SULLIVAN, Matt",Liberal,3
WA,C,"BOTHA, Trischa",Liberal,4
WA,D,"STEELE-JOHN, Jordon",The Greens,1
WA,D,"WATSON, Giz",The Greens,2
WA,D,"LONSDALE, Heather",The Greens,3
WA,D,"KHADKA, Bhuwan",The Greens,4
WA,D,"van GROOTEL, Jacqueline",The Greens,5
WA,D,"CAHILL, Jordan Louise",The Greens,6
WA,E,"ARCHIBALD, David",Fraser Anning's Conservative National Party,1
WA,E,"CAMPBELL, Meredith Melinda",Fraser Anning's Conservative National Party,2
WA,F,"MYERS, Clive",Pirate Party,1
WA,F,"de ABEL, Paul",Pirate Party,2
WA,G,"DODSON, Patrick",Australian Labor Party,1
WA,G,"PRATT, Louise",Australian Labor Party,2
WA,G,"HERBERT, Alana",Australian Labor Party,3
WA,G,"FRENCH, Thomas",Australian Labor Party,4
WA,G,"GHOSH, Varun",Australian Labor Party,5
WA,G,"VAUGHAN, Alison",Australian Labor Party,6
WA,H,"MATHESON, Julie",Western Australia Party,1
WA,H,"FREILICH, David John",Western Australia Party,2
WA,H,"THOMPSON, Bruce",Western Australia Party,3
WA,H,"NORRIS, Ron",Western Australia Party,4
WA,H,"BRADLEY, Rod",Western Australia Party,5
WA,I,"McDONALD, James",United Australia Party,1
WA,I,"SEWELL, Russell",United Australia Party,2
WA,I,"HARDWICK, Patrick John",United Australia Party,3
WA,J,"LETHBRIDGE, Nick",Help End Marijuana Prohibition (HEMP) Party,1
WA,J,"RAYNER, Mark",Help End Marijuana Prohibition (HEMP) Party,2
WA,K,"JOUBERT, Ellen",Australian Christians,1
WA,K,"YOUNG, Trevor",Australian Christians,2
WA,L,"LOVE, Katrina",Animal Justice Party,1
WA,L,"HENRY, Courtney",Animal Justice Party,2
WA,M,"CRABTREE, Jonathan",Australian Conservatives,1
WA,M,"CASTIEAU, Peter",Australian Conservatives,2
WA,M,"BRAZIER, Matt",Australian Conservatives,3
WA,N,"GRAY, John Patrick",Liberal Democrats,1
WA,N,"Du PREEZ, Wesley Jerome",Liberal Democrats,2
WA,O,"ROBINSON, Jean",Citizens Electoral Council,1
WA,O,"MASON, Barry",Citizens Electoral Council,2
WA,P,"OSTLE, Stuart William","Shooters, Fishers and Farmers",1
WA,P,"LEAN, Ronald","Shooters, Fishers and Farmers",2
WA,Q,"HARLEY, Petrina",Socialist Alliance,1
WA,Q,"SALMON, Alex",Socialist Alliance,2
WA,R,"CULLETON, Rodney Norman",The Great Australian Party,1
WA,R,"GLEW, Wayne Kenneth",The Great Australian Party,2
WA,S,"ROBINSON, Debbie",Yellow Vest Australia,1
WA,S,"GORMAN, Catherine",Yellow Vest Australia,2
WA,T,"CRAIES, Teddy",Health Australia Party,1
WA,T,"WALLIS, Emily",Health Australia Party,2
WA,U,"FARDELL, Nick",The Nationals,1
WA,U,"BLAKE, Siobhan",The Nationals,2
WA,U,"KINGSTON, Louise",The Nationals,3
WA,V,"BARTLETT, Yasmin Maree",Sustainable Australia,1
WA,V,"SCOTT, Colin Robert",Sustainable Australia,2
WA,W,"TAAFFE, Melissa",VOTEFLUX.ORG | Upgrade Democracy!,1
WA,W,"TREASURE, Leo",VOTEFLUX.ORG | Upgrade Democracy!,2
WA,UG,"PEGRUM, Valentine-Clive",Independent,1
WA,UG,"MULLINGS, Ben",The Australian Mental Health Party,2
WA,UG,"HUTCHINSON, Glenn",Independent,3
WA,UG,"JONES, Murray Victor",Independent,4
WA,UG,"CAREW-HOPKINS, Brian",Independent,5
